date,sregion,eregion,e1,e2,e3,e4,e5,e6,etotal,s1,s2,s3,s4,s5,s6,stotal
2020-01-01,강원,강원,134234,1043,3328,400,352,6233,145590,134234,1043,3328,400,352,6233,145590
2020-01-01,강원,경기,55251,293,1088,233,142,2044,59051,41495,250,1084,175,197,1819,45020
2020-01-01,강원,경남,310,3,11,0,4,11,339,208,0,9,6,3,11,237
2020-01-01,강원,경북,705,12,17,2,3,24,763,815,11,20,8,7,30,891
2020-01-01,강원,광주,132,2,17,1,2,2,156,142,0,19,8,3,2,174
2020-01-01,강원,대구,310,2,4,3,0,7,326,570,2,28,6,2,15,623
2020-01-01,강원,대전,327,1,29,2,0,15,374,334,0,32,1,0,18,385
2020-01-01,강원,부산,9,0,0,0,0,0,9,10,0,0,0,0,1,11
2020-01-01,강원,서울,2732,7,481,4,0,105,3329,1362,9,301,3,4,46,1725
2020-01-01,강원,세종,11,0,0,0,0,0,11,11,0,0,0,0,0,11
2020-01-01,강원,울산,5,0,0,0,0,0,5,3,0,0,0,1,0,4
2020-01-01,강원,전남,79,0,1,0,1,0,81,84,0,1,1,1,1,88
2020-01-01,강원,전북,236,2,6,2,0,5,251,261,3,5,4,5,4,282
2020-01-01,강원,충남,645,1,8,3,10,29,696,933,5,16,14,18,33,1019
2020-01-01,강원,충북,5787,90,123,49,26,241,6316,6136,80,161,60,38,279,6754
2020-01-01,경기,강원,41495,250,1084,175,197,1819,45020,55251,293,1088,233,142,2044,59051
2020-01-01,경기,경기,287216,6444,8443,5067,2895,17027,327092,287216,6444,8443,5067,2895,17027,327092
2020-01-01,경기,경남,3499,37,247,284,116,128,4311,2898,25,191,181,85,105,3485
2020-01-01,경기,경북,4909,39,239,288,118,183,5776,6938,45,213,290,107,240,7833
2020-01-01,경기,광주,829,8,109,88,18,20,1072,750,4,93,58,18,20,943
2020-01-01,경기,대구,1840,12,91,145,49,45,2182,4135,24,137,151,73,142,4662
2020-01-01,경기,대전,2005,37,156,49,13,90,2350,2613,41,170,37,10,129,3000
2020-01-01,경기,부산,176,3,17,56,27,4,283,346,3,16,55,33,11,464
2020-01-01,경기,서울,97163,2509,4434,1648,549,5331,111634,108747,2444,4406,1260,490,6248,123595
2020-01-01,경기,세종,45,0,2,0,2,1,50,69,1,2,0,3,3,78
2020-01-01,경기,울산,47,0,5,5,6,0,63,89,0,1,11,15,3,119
2020-01-01,경기,전남,1050,5,89,49,36,23,1252,1178,10,81,47,35,25,1376
2020-01-01,경기,전북,1715,10,98,49,66,56,1994,2141,13,104,50,39,86,2433
2020-01-01,경기,충남,37591,461,1396,652,720,1783,42603,41472,433,1408,650,746,1866,46575
2020-01-01,경기,충북,24680,628,1033,790,582,1191,28904,28900,617,972,843,561,1339,33232
2020-01-01,경남,강원,208,0,9,6,3,11,237,310,3,11,0,4,11,339
2020-01-01,경남,경기,2898,25,191,181,85,105,3485,3499,37,247,284,116,128,4311
2020-01-01,경남,경남,168052,3336,3572,1403,1075,9963,187401,168052,3336,3572,1403,1075,9963,187401
2020-01-01,경남,경북,16867,177,409,190,189,763,18595,24161,296,540,369,293,1092,26751
2020-01-01,경남,광주,2172,16,87,53,16,49,2393,1935,13,93,40,19,54,2154
2020-01-01,경남,대구,19398,242,625,292,379,780,21716,14103,151,478,115,67,590,15504
2020-01-01,경남,대전,1495,6,100,23,14,52,1690,1716,12,103,26,11,68,1936
2020-01-01,경남,부산,83704,808,1601,289,400,4695,91497,84861,868,1488,250,494,4971,92932
